"","plot_name","agb_Mg_per_Ha"
"101","mabou001",311.984341451058
"102","mabou002",283.624465036452
"103","mabou003",319.102084543152
"104","mabou004",413.279196885256
"105","mabou005",404.064955274465
"106","mabou006",269.857716337471
"107","mabou007",232.767461664472
"108","mabou008",231.740989429295
"109","mabou009",374.985296078172
"110","mabou010",308.872724261692
"111","mabou011",526.129860152761
"112","mabou012",155.010196841993
"113","mbalmayo001",423.637750580988
"114","mbalmayo002",197.233923202705
"115","mbalmayo003",266.865191585948
"116","mbalmayo004",274.836157018656
"117","mbalmayo005",425.204230119677
"118","mbalmayo006",597.199093281858
"119","mbalmayo007",376.334964584417
"120","mbalmayo008",288.696311305054
"121","mbalmayo009",537.05408305727
"122","mbalmayo010",198.196568908296
"123","mbalmayo011",421.603348567774
"124","mbalmayo012",417.0858054248
"125","mbalmayo013",78.7024519860291
"126","mbalmayo014",164.141508506895
"127","mintom003",215.80545265228
"128","mpem001",342.177842253071
"129","mpem002",420.509866498328
"130","mpem003",159.970841945081
"131","mpem004",191.746556415376
"132","mpem005",220.465954805317
"133","mpem006",129.129318692714
"134","mpem007",328.650824360163
"135","mpem008",493.289549569509
"136","mpem009",264.591577954355
"137","mpem010",144.168398817104
"138","nachtigal001",235.877661110012
"139","nachtigal002",226.39112341661
"140","nachtigal003",171.879605371743
"141","nachtigal004",337.386013129977
"142","nachtigal005",196.834804933465
"143","nachtigal006",289.763360500104
"144","nachtigal007",238.48950766471
"145","nachtigal008",78.0889256937387
"146","nachtigal009",256.273900537752
"147","nachtigal010",205.04514945169
"148","nachtigal011",151.757156348419
"149","nemeyong001",446.171275109215
"150","nemeyong002",325.471781398316
"151","nemeyong003",461.080476321464
"152","nemeyong004",349.526820697385
"153","nemeyong005",379.884312984528
"154","nemeyong006",277.078752230103
"155","nemeyong007",174.153808594942
"156","nemeyong008",64.9402755915571
"157","ngoila001",313.370547483685
"158","ngoila002",409.478787435877
"159","ngoila003",179.422404973317
"160","ngoila004",418.810964279389
"161","ngoila005",448.856903347832
"162","ngoila006",508.628009054595
"163","ngovayang001",212.672950786391
"164","ngovayang002",210.069473596233
"165","pallisco1",385.894820691773
"166","pallisco2",293.656104591767
"167","pallisco3",293.436685579489
"168","pallisco4",246.976814799526
"169","somalomo007",320.027402023922
"170","somalomo008",291.292032773808
"171","somalomo009",387.98361368623
"172","somalomo010",320.426183814459
"173","somalomo011",404.421646945606
"174","somalomo012",430.075902904375
"175","somalomo013",632.9664873535
"176","somalomo014",681.544652155316
