iter	precipitation	interception	throughfall	runoff	leak	evaporation	transpitation_0	transpitation_1	transpitation_2	transpitation_3	transpitation_4	transpiration1016	SWC_0	SWC_1	SWC_2	SWC_3	SWC_4	SWP_0	SWP_1	SWP_2	SWP_3	SWP_4
38	0.8	1.28e-06	0	0	0	0.000369994	0.00046966	0.000883749	0.000605111	0.000396202	0.000138599	0.00188643	0.322985	0.329008	0.323125	0.32344	0.330965	-0.0114296	-0.0105777	-0.0114255	-0.011363	-0.0103182	
39	2.8	1.86728e-06	0.00163295	0	0	0.000255358	0.000513809	0.000601947	0.000452788	0.000310521	0.000110728	0.00146414	0.332038	0.325177	0.321612	0.322944	0.330823	-0.01018	-0.0111101	-0.0116525	-0.0114364	-0.0103368	
40	0	0	0	0	0	0.000369112	0.000646058	0.000944081	0.000742289	0.000518303	0.000185002	0.00221537	0.323208	0.32256	0.32048	0.322556	0.330708	-0.0113979	-0.0114936	-0.0118262	-0.0114943	-0.0103518	
41	17.4	1.86787e-06	0.0162326	0	0	0.000155463	0.000277254	0.000418279	0.000361814	0.000192816	5.61161e-05	0.00108987	0.33345	0.333449	0.33345	0.328148	0.330555	-0.01	-0.00999999	-0.01	-0.0107055	-0.0103721	
42	7.4	1.86527e-06	0.00623421	0	0.000408073	0.000223531	0.000395296	0.000592554	0.000508519	0.000314926	8.01628e-05	0.00162051	0.33345	0.333449	0.33345	0.33239	0.331486	-0.01	-0.00999999	-0.01	-0.0101374	-0.0102524	
43	0	0	0	0	0	0.000242589	0.000394463	0.000679278	0.000609974	0.000389068	0.000100003	0.00169249	0.327071	0.330873	0.332178	0.331996	0.331403	-0.0108424	-0.01033	-0.0101612	-0.0101879	-0.0102631	
44	1.2	1.86031e-06	3.73047e-05	0	0	0.000329153	0.000425108	0.000846026	0.000795071	0.000522649	0.000135333	0.00195659	0.320208	0.32792	0.330653	0.33151	0.3313	-0.0118514	-0.0107254	-0.0103589	-0.0102506	-0.0102765	
45	1.2	1.86283e-06	3.57297e-05	0	0	0.000267332	0.000345763	0.000770756	0.000767871	0.000527285	0.000138505	0.00195657	0.313641	0.324242	0.328666	0.330856	0.331161	-0.0129323	-0.0112448	-0.0106238	-0.0103357	-0.0102947	
46	7.8	1.86539e-06	0.00663413	0	0	0.000245949	0.00035135	0.000530043	0.00039795	0.000263296	7.18427e-05	0.00134943	0.33345	0.333449	0.329678	0.330197	0.331018	-0.01	-0.00999999	-0.010489	-0.0104225	-0.0103133	
47	0	0	0	0	0	0.000265722	0.000382688	0.000663478	0.000519787	0.000350783	9.62326e-05	0.00152879	0.327279	0.331145	0.328684	0.329868	0.330944	-0.0108136	-0.0102946	-0.0106227	-0.0104661	-0.010323	
48	0	0	0	0	0	0.000317176	0.000394134	0.000795425	0.000655288	0.000453227	0.000125159	0.00179585	0.32028	0.32826	0.327384	0.32943	0.330845	-0.0118402	-0.0106789	-0.0108006	-0.0105246	-0.010336	
49	0.6	9.6e-07	0	0	0	0.000272469	0.000335081	0.000766081	0.000670356	0.000478931	0.00013353	0.00183938	0.313614	0.324802	0.325746	0.328863	0.330716	-0.0129372	-0.0111638	-0.0110303	-0.0106009	-0.0103529	
50	0.4	6.4e-07	0	0	0	0.000269218	0.000296034	0.000757304	0.000701998	0.000519544	0.000146662	0.00189074	0.307571	0.321471	0.32407	0.328264	0.330578	-0.0140486	-0.0116576	-0.0112717	-0.0106822	-0.010371	
51	5.6	1.85829e-06	0.00443857	0	0	0.000280366	0.000730603	0.000764006	0.000624049	0.000492721	0.000144171	0.00195038	0.33345	0.323719	0.322315	0.327615	0.330427	-0.01	-0.0113238	-0.0115318	-0.0107713	-0.010391	
52	0	0	0	0	0	0.000193786	0.000437956	0.000565441	0.0004907	0.000399447	0.000118361	0.0016097	0.324206	0.320397	0.320755	0.326999	0.330278	-0.0112502	-0.0118254	-0.0117695	-0.0108567	-0.0104106	
53	0	0	0	0	0	0.000150563	0.000377421	0.000553437	0.000502028	0.000419352	0.000125805	0.0015932	0.318321	0.317939	0.319528	0.3265	0.330156	-0.0121508	-0.0122152	-0.0119608	-0.0109266	-0.0104268	
54	0	0	0	0	0	0.000259332	0.000470757	0.000800568	0.000751034	0.000637793	0.000192069	0.00237201	0.311953	0.315533	0.318273	0.325976	0.330026	-0.0132324	-0.0126129	-0.0121608	-0.0110005	-0.010444	
55	8.6	1.85916e-06	0.00743803	0	0	0.000178984	0.000455955	0.000644557	0.000317185	0.000286777	9.07361e-05	0.00122356	0.33345	0.331673	0.31671	0.325178	0.329829	-0.01	-0.0102307	-0.0124185	-0.0111143	-0.0104704	
56	51.4	1.85703e-06	0.0502394	0	0.0310713	0.000138618	0.000264746	0.000396889	0.000340698	0.000220044	5.80089e-05	0.00113266	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
57	3	1.85454e-06	0.00184091	0	0.000320227	0.000240299	0.0004029	0.000604915	0.000519953	0.000336211	8.87244e-05	0.00140285	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
58	0	0	0	0	0	0.000303301	0.00046107	0.000810453	0.00072556	0.000480622	0.000127498	0.00191054	0.326388	0.33082	0.33215	0.33303	0.333358	-0.0109378	-0.0103371	-0.0101649	-0.0100529	-0.0100115	
59	0.2	3.2e-07	0	0	0	0.000257023	0.000417912	0.000841819	0.000796984	0.000547724	0.00014685	0.00212561	0.319207	0.327296	0.330336	0.332429	0.333227	-0.0120084	-0.0108113	-0.0104006	-0.0101292	-0.010028	
60	6.6	1.85846e-06	0.00543846	0	0	0.000244274	0.000443099	0.00066693	0.00052636	0.000349848	9.71253e-05	0.00161287	0.33345	0.333449	0.33108	0.331744	0.333075	-0.01	-0.00999999	-0.0103036	-0.010217	-0.0100471	
61	17.6	1.8561e-06	0.0164399	0	0.0114972	0.00018404	0.000315165	0.000473705	0.000407781	0.000264061	6.97579e-05	0.00126695	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
62	6.2	1.85341e-06	0.00504162	0	0.00324875	0.000262403	0.000349995	0.000526182	0.000453111	0.000293619	7.76393e-05	0.00125049	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
63	0.2	3.2e-07	0	0	0	0.000408875	0.000588264	0.00106473	0.000943473	0.000620049	0.000163741	0.0024868	0.325861	0.331162	0.332317	0.333083	0.33337	-0.0110121	-0.0102924	-0.0101435	-0.0100462	-0.0100101	
64	0	0	0	0	0	0.000346983	0.000324275	0.000705838	0.00067904	0.000472097	0.000127283	0.00160527	0.316509	0.326533	0.329958	0.332308	0.333201	-0.0124451	-0.0109176	-0.0104506	-0.0101447	-0.0100313	
65	0.6	9.6e-07	0	0	0	0.000264698	0.00024081	0.000588292	0.000594559	0.000429485	0.000117481	0.00144363	0.310619	0.323464	0.328261	0.331718	0.33307	-0.0134725	-0.0113586	-0.0106788	-0.0102205	-0.0100479	
66	0.4	6.4e-07	0	0	0	0.000321713	0.000310502	0.000859688	0.00089735	0.000664837	0.000182972	0.00218734	0.304994	0.320906	0.326774	0.331181	0.332949	-0.0145599	-0.0117437	-0.0108838	-0.01029	-0.0100632	
67	38.2	1.85219e-06	0.0370424	0	0.0233747	5.01407e-05	9.09075e-05	0.000136433	0.000117641	7.64792e-05	2.02873e-05	0.000391659	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
68	0.2	3.2e-07	0	0	0	0.000310762	0.000417781	0.000708873	0.000613502	0.000397945	0.000104926	0.00179231	0.329433	0.332857	0.333156	0.333354	0.333429	-0.0105205	-0.0100748	-0.010037	-0.010012	-0.0100026	
69	0	0	0	0	0	0.000310479	0.000405825	0.000803822	0.000731643	0.000489907	0.000130378	0.0018372	0.32215	0.329774	0.331622	0.332857	0.333321	-0.011554	-0.010475	-0.0102328	-0.0100748	-0.0100162	
70	13.6	1.84768e-06	0.0124452	0	0.00642245	0.000155166	0.000331047	0.000498277	0.000429688	0.00027884	7.38222e-05	0.0011121	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
71	22	1.84501e-06	0.0208469	0	0.019099	0.000136198	0.000235581	0.000354078	0.000304892	0.000197552	5.22218e-05	0.00108887	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
72	0.2	3.2e-07	0	0	0	0.000295343	0.000385293	0.000662423	0.00058343	0.000382958	0.000101457	0.00155875	0.32814	0.33191	0.332687	0.333203	0.333396	-0.0106951	-0.0101956	-0.0100963	-0.0100311	-0.0100068	
73	5.2	1.83918e-06	0.00405051	0	0.000293175	0.000207679	0.00031712	0.000476731	0.000410491	0.000265919	7.02646e-05	0.00117632	0.33345	0.333449	0.33345	0.33345	0.333444	-0.01	-0.00999999	-0.01	-0.01	-0.0100007	
74	13.6	1.83656e-06	0.0124522	0	0.0106885	0.000217581	0.000300912	0.000452523	0.000389833	0.000252662	6.68035e-05	0.00111715	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
75	0.2	3.2e-07	0	0	0	0.000357942	0.000371296	0.000658333	0.000583568	0.000384498	0.000101943	0.00159573	0.326861	0.331482	0.332475	0.333134	0.333381	-0.0108716	-0.0102508	-0.0101233	-0.0100397	-0.0100086	
76	2.2	1.83092e-06	0.00105567	0	0	0.000317758	0.000595177	0.000829699	0.000775328	0.000529337	0.000142169	0.00209279	0.330527	0.32862	0.331016	0.332653	0.333276	-0.0103755	-0.01063	-0.0103114	-0.0101006	-0.0100219	
77	13.4	1.83445e-06	0.0122535	0	0.00598528	0.000214087	0.000364457	0.000546922	0.00046983	0.000303595	8.00614e-05	0.00148163	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
78	3.6	1.83217e-06	0.0024549	0	0.000448808	0.00024122	0.000350229	0.000526915	0.00045404	0.000294346	7.78488e-05	0.00129274	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
79	1.6	1.82949e-06	0.000456572	0	0	0.000274913	0.00032052	0.000470658	0.000422206	0.000280965	7.49898e-05	0.00126395	0.331764	0.331159	0.332315	0.333082	0.333369	-0.0102145	-0.0102928	-0.0101438	-0.0100463	-0.0100101	
80	6.4	1.8268e-06	0.00525825	0	0.00188531	0.000281882	0.000404976	0.000608143	0.000522788	0.000338116	8.92561e-05	0.00148445	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
81	3.4	1.82423e-06	0.00225986	0	0.000102939	0.000210141	0.000291395	0.000438455	0.000378009	0.000245208	6.48623e-05	0.00107348	0.33345	0.333449	0.33345	0.333447	0.333435	-0.01	-0.00999999	-0.01	-0.0100003	-0.0100019	
82	1.4	1.82169e-06	0.000261443	0	0	0.000206564	0.000368708	0.000561572	0.000498502	0.000328908	8.72912e-05	0.00152479	0.331085	0.331543	0.332505	0.333141	0.333368	-0.0103025	-0.0102429	-0.0101195	-0.0100389	-0.0100103	
83	7.2	1.81976e-06	0.00606265	0	0.00263325	0.00020486	0.000411385	0.000618063	0.000531567	0.00034386	9.07549e-05	0.00162359	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
84	8	1.81666e-06	0.00686458	0	0.00467519	0.000193759	0.000337688	0.000507364	0.000436649	0.000282791	7.47305e-05	0.00122296	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
85	86.4	1.81396e-06	0.0852663	0	0.0836044	2.26146e-05	2.03484e-05	3.01267e-05	2.59776e-05	1.70794e-05	4.59191e-06	8.03987e-05	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
86	4.4	1.81122e-06	0.00326799	0	0.00302374	0.000146121	0.000282494	0.000423694	0.000363911	0.000235183	6.20268e-05	0.00126264	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
87	78.4	1.80869e-06	0.0772696	0	0.0758069	9.53945e-05	0.00020317	0.000305221	0.000262859	0.000170424	4.50787e-05	0.000826305	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
88	0.8	1.28e-06	0	0	0	0.000149279	0.00029731	0.000482431	0.000423649	0.000277654	7.35369e-05	0.0013582	0.329925	0.332123	0.332793	0.333237	0.333403	-0.0104549	-0.0101683	-0.0100829	-0.0100268	-0.0100058	
89	0.6	9.6e-07	0	0	0	0.000216188	0.000343455	0.000622929	0.000566087	0.000379215	0.000101067	0.00164859	0.32479	0.330025	0.331733	0.33289	0.333327	-0.0111651	-0.0104417	-0.0102184	-0.0100706	-0.0100154	
90	0.8	1.28e-06	0	0	0	0.000221607	0.000316123	0.000640213	0.000607146	0.000418844	0.000112677	0.00169911	0.31914	0.327317	0.330318	0.332416	0.333223	-0.012019	-0.0108084	-0.010403	-0.0101309	-0.0100285	
91	0.4	6.4e-07	0	0	0	0.00026263	0.000382929	0.000871218	0.000860497	0.000611314	0.000165867	0.00213044	0.313352	0.324533	0.3288	0.331892	0.333107	-0.0129825	-0.0112024	-0.0106056	-0.010198	-0.0100431	
92	0.4	6.4e-07	0	0	0	0.00022435	0.00031061	0.000777299	0.000812784	0.000604016	0.000166491	0.00211953	0.307279	0.320745	0.326649	0.331128	0.332936	-0.0141047	-0.0117684	-0.0109013	-0.0102969	-0.0100647	
93	12.4	1.81059e-06	0.0112684	0	0	0.0001241	0.000347418	0.000520709	0.000446979	0.000269495	7.42664e-05	0.00138873	0.33345	0.333449	0.333447	0.331605	0.332764	-0.01	-0.00999999	-0.0100003	-0.0102357	-0.0100865	
94	1	1.6e-06	0	0	0	0.000210582	0.000455955	0.000769007	0.000684379	0.000421841	0.000116731	0.00193258	0.32787	0.331186	0.33233	0.331268	0.332688	-0.0107322	-0.0102893	-0.0101419	-0.0102794	-0.0100962	
95	16.6	1.81264e-06	0.0154671	0	0.00879261	0.000215246	0.000477018	0.000712906	0.000609414	0.000391778	0.000102832	0.00195304	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
96	2.4	1.81564e-06	0.00126522	0	0	0.000299395	0.000600574	0.000867107	0.000727738	0.000486418	0.000129594	0.00219353	0.33345	0.332475	0.331926	0.33296	0.333344	-0.01	-0.0101233	-0.0101936	-0.0100617	-0.0100133	
97	0	0	0	0	0	0.000316729	0.000620839	0.00108835	0.00097304	0.000674422	0.000181572	0.00267879	0.324277	0.328705	0.330107	0.332352	0.33321	-0.0112395	-0.0106186	-0.0104309	-0.010139	-0.0100301	
98	6.4	1.82253e-06	0.00526092	0	0	0.000168392	0.000319605	0.000481586	0.000381029	0.000251252	7.02995e-05	0.00113615	0.33345	0.333449	0.331111	0.331509	0.333023	-0.01	-0.00999999	-0.0102998	-0.0102474	-0.0100538	
99	11.2	1.81994e-06	0.0100625	0	0.00539981	0.000256975	0.000523005	0.000782583	0.000669861	0.000431149	0.000113263	0.00216002	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
100	24.6	1.82152e-06	0.0234616	0	0.0207538	0.000187901	0.00025911	0.000389439	0.000335445	0.000217396	5.74494e-05	0.000945323	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
101	0	0	0	0	0	0.00027986	0.000515171	0.000880861	0.00077547	0.00050819	0.000134279	0.00214368	0.32806	0.331756	0.332611	0.333178	0.333391	-0.0107061	-0.0102154	-0.010106	-0.0100342	-0.0100074	
102	8	1.82097e-06	0.00686189	0	0.00229607	0.000213153	0.000492407	0.000738081	0.000633359	0.000408854	0.000107704	0.00195922	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
103	0.6	9.6e-07	0	0	0	0.000175412	0.000252884	0.000430499	0.000391657	0.000262701	7.01773e-05	0.00106067	0.326772	0.330241	0.331866	0.332939	0.333339	-0.0108841	-0.0104132	-0.0102013	-0.0100644	-0.0100139	
104	78.2	1.81966e-06	0.0770627	0	0.0730696	2.93666e-05	3.78676e-05	5.66774e-05	4.89416e-05	3.19503e-05	8.51035e-06	0.000145274	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
105	3.6	1.81692e-06	0.00246443	0	0.00208598	0.0001945	0.000402227	0.000601992	0.000515655	0.00033225	8.73775e-05	0.0017431	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
106	29.4	1.81899e-06	0.0282631	0	0.0262215	0.000102104	0.000164046	0.00024695	0.000213366	0.000138822	3.68233e-05	0.000595709	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
107	16.6	1.81623e-06	0.0154649	0	0.0145414	0.000123416	0.000292996	0.000438775	0.000376441	0.000243094	6.40685e-05	0.00131852	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
